,date
58,2013-04-25
63,2013-05-02
74,2013-05-13
75,2013-05-14
78,2013-05-18
101,2013-06-15
121,2013-07-01
123,2013-07-02
155,2013-08-02
160,2013-08-05
170,2013-08-17
178,2013-08-23
190,2013-09-14
209,2013-09-27
212,2013-10-05
217,2013-10-07
220,2013-10-13
246,2013-11-22
247,2013-11-22
260,2013-12-07
268,2013-12-25
302,2014-01-01
312,2014-01-01
314,2014-01-01
316,2014-01-01
327,2014-01-01
381,2014-01-01
386,2014-01-01
465,2014-01-01
470,2014-01-01
478,2014-01-01
479,2014-01-01
487,2014-01-01
489,2014-01-01
516,2014-01-02
519,2014-01-02
592,2014-01-02
594,2014-01-02
631,2014-01-03
645,2014-01-03
674,2014-01-03
710,2014-01-03
716,2014-01-03
818,2014-01-04
841,2014-01-04
864,2014-01-04
875,2014-01-04
952,2014-01-05
955,2014-01-05
959,2014-01-05
972,2014-01-05
974,2014-01-05
1032,2014-01-06
1041,2014-01-06
1044,2014-01-06
1046,2014-01-06
1120,2014-01-07
1121,2014-01-07
1122,2014-01-07
1124,2014-01-07
1125,2014-01-07
1136,2014-01-07
1152,2014-01-07
1165,2014-01-07
1190,2014-01-07
1199,2014-01-07
1224,2014-01-08
1226,2014-01-08
1234,2014-01-08
1237,2014-01-08
1241,2014-01-08
1242,2014-01-08
1243,2014-01-08
1245,2014-01-08
1246,2014-01-08
1247,2014-01-08
1248,2014-01-08
1249,2014-01-08
1251,2014-01-08
1264,2014-01-08
1271,2014-01-08
1272,2014-01-08
1296,2014-01-08
1473,2014-01-09
1474,2014-01-09
1491,2014-01-09
1493,2014-01-09
1494,2014-01-09
1495,2014-01-09
1496,2014-01-09
1498,2014-01-09
1499,2014-01-09
1500,2014-01-09
1501,2014-01-09
1504,2014-01-09
1506,2014-01-10
1507,2014-01-10
1510,2014-01-10
1511,2014-01-10
1512,2014-01-10
1513,2014-01-10
1514,2014-01-10
1516,2014-01-10
1517,2014-01-10
1518,2014-01-10
1520,2014-01-10
1534,2014-01-10
1535,2014-01-10
1567,2014-01-10
1635,2014-01-11
1638,2014-01-11
1639,2014-01-11
1640,2014-01-11
1641,2014-01-11
1642,2014-01-11
1644,2014-01-11
1645,2014-01-11
1646,2014-01-11
1648,2014-01-11
1690,2014-01-11
1691,2014-01-11
1694,2014-01-11
1695,2014-01-11
1703,2014-01-11
1777,2014-01-12
1778,2014-01-12
1779,2014-01-12
1792,2014-01-12
1794,2014-01-12
1799,2014-01-12
1800,2014-01-12
1810,2014-01-12
1927,2014-01-13
1928,2014-01-13
1929,2014-01-13
1931,2014-01-13
1932,2014-01-13
1935,2014-01-13
1936,2014-01-13
1944,2014-01-13
1983,2014-01-13
1986,2014-01-13
1987,2014-01-13
1989,2014-01-13
1990,2014-01-13
1996,2014-01-13
1998,2014-01-13
1999,2014-01-13
2166,2014-01-14
2167,2014-01-14
2168,2014-01-14
2183,2014-01-14
2207,2014-01-14
2208,2014-01-14
2209,2014-01-14
2210,2014-01-14
2214,2014-01-14
2217,2014-01-14
2218,2014-01-14
2219,2014-01-14
2235,2014-01-14
2237,2014-01-14
2239,2014-01-14
2242,2014-01-14
2247,2014-01-15
2254,2014-01-15
2260,2014-01-15
2267,2014-01-15
2287,2014-01-15
2319,2014-01-15
2321,2014-01-15
2324,2014-01-15
2328,2014-01-15
2329,2014-01-15
2392,2014-01-15
2425,2014-01-16
2432,2014-01-16
2433,2014-01-16
2434,2014-01-16
2435,2014-01-16
2436,2014-01-16
2437,2014-01-16
2438,2014-01-16
2441,2014-01-16
2442,2014-01-16
2445,2014-01-16
2462,2014-01-16
2489,2014-01-16
2490,2014-01-16
2491,2014-01-16
2493,2014-01-16
2494,2014-01-16
2495,2014-01-16
2496,2014-01-16
2620,2014-01-17
2622,2014-01-17
2626,2014-01-17
2627,2014-01-17
2628,2014-01-17
2629,2014-01-17
2633,2014-01-17
2634,2014-01-17
2639,2014-01-17
2656,2014-01-17
2820,2014-01-18
2821,2014-01-18
2823,2014-01-18
2824,2014-01-18
2826,2014-01-18
2845,2014-01-18
2861,2014-01-18
2866,2014-01-18
2868,2014-01-18
2873,2014-01-18
2876,2014-01-18
2915,2014-01-19
2921,2014-01-19
2923,2014-01-19
2925,2014-01-19
2926,2014-01-19
2928,2014-01-19
2931,2014-01-19
2933,2014-01-19
2944,2014-01-19
2945,2014-01-19
2946,2014-01-19
2948,2014-01-19
2949,2014-01-19
3094,2014-01-20
3096,2014-01-20
3097,2014-01-20
3098,2014-01-20
3099,2014-01-20
3105,2014-01-20
3115,2014-01-20
3120,2014-01-20
3121,2014-01-20
3122,2014-01-20
3124,2014-01-20
3125,2014-01-20
3138,2014-01-20
3178,2014-01-20
3179,2014-01-20
3183,2014-01-20
3270,2014-01-21
3286,2014-01-21
3288,2014-01-21
3290,2014-01-21
3299,2014-01-21
3300,2014-01-21
3304,2014-01-21
3307,2014-01-21
3308,2014-01-21
3309,2014-01-21
3310,2014-01-21
3311,2014-01-21
3314,2014-01-21
3317,2014-01-21
3392,2014-01-22
3393,2014-01-22
3398,2014-01-22
3399,2014-01-22
